,x,z,m1,m2,m3
0,0.0,0.1,-0.5357654658,-0.4672979446,-0.5757128235
1,0.1,0.1,-0.814349685,-0.6768413019,-0.1530838759
2,0.1,0.0,-0.5217504719,-1.1502758242,-0.1390338009
3,0.1,-0.1,-0.4265488699,-1.119410549,-0.6529454755
4,0.0,-0.1,-0.3056813285,-1.1149337795,-1.3018349804
5,-0.1,-0.1,-0.7382585656,-0.8968705974,-1.5835040691
6,-0.1,0.0,-1.2934966699,-0.7033554712,-1.9026907553
7,-0.1,0.1,-1.9009454261,-1.0854883297,-1.7189817616
8,-0.1,0.2,-2.3776018261,-1.3378542128,-1.5796207115
9,0.0,0.2,-2.9699037424,-1.6002897732,-1.3867164506
10,0.1,0.2,-2.8756088389,-2.2102552941,-1.4990318786
11,0.2,0.2,-2.8669816764,-2.8600343933,-1.499028388
12,0.2,0.1,-2.8235866826,-3.4979190737,-1.3756231379
13,0.2,0.0,-2.7714057012,-3.712734198,-1.9924102782
14,0.2,-0.1,-2.732292,-3.9696990238,-2.6219112695
15,0.2,-0.2,-2.6811363997,-4.2802454576,-3.2724818755
16,0.1,-0.2,-2.5916821669,-4.6042222,-3.8564585713
17,0.0,-0.2,-2.8717228633,-4.4548831025,-4.349498377
18,-0.1,-0.2,-2.9784061139,-4.0644529489,-4.6996480768
19,-0.2,-0.2,-3.0409028637,-3.6679665027,-4.9562647094
20,-0.2,-0.1,-3.1259946461,-3.215399137,-5.2391223673
21,-0.2,0.0,-3.6459901894,-3.1279197442,-4.9011742643
22,-0.2,0.1,-4.1300179876,-3.025825837,-4.6164604487
23,-0.2,0.2,-4.617479721,-2.9277095351,-4.340346743
24,-0.2,0.3,-5.1281002283,-2.784333355,-4.1114991715
25,-0.1,0.3,-5.6209026692,-2.6554905316,-3.9065085056
26,0.0,0.3,-5.4622723115,-3.0473989792,-3.5456302668
27,0.1,0.3,-5.1729028302,-3.527441318,-3.1184609323
28,0.2,0.3,-4.912556429,-3.9401244196,-2.7724424268
29,0.3,0.3,-4.6521934471,-4.355207349,-2.3321281451
30,0.3,0.2,-3.9874219697,-4.6155232069,-1.4532998889
31,0.3,0.1,-3.9631444398,-4.8236449936,-2.0757724393
32,0.3,0.0,-3.9211221474,-5.0851738553,-2.5761574632
33,0.3,-0.1,-3.613249558,-5.2160124627,-2.960794869
34,0.3,-0.2,-3.2414298501,-5.3439101903,-3.3486864413
35,0.3,-0.3,-2.7930312033,-5.3166917806,-3.6425091302
36,0.2,-0.3,-2.4436843549,-5.4147269247,-4.0218075739
37,0.1,-0.3,-2.5310991705,-5.0971119074,-4.4125091263
38,0.0,-0.3,-2.5064394135,-4.6509010308,-4.72055014
39,-0.1,-0.3,-2.5157551084,-4.202525946,-5.0140115457
40,-0.2,-0.3,-2.5301052055,-3.6816062508,-5.3258853024
41,-0.3,-0.3,-2.6140345986,-3.300767554,-5.5817383535
42,-0.3,-0.2,-2.7220364454,-2.8824575109,-5.8075289808
43,-0.3,-0.1,-3.2726188839,-2.7982698091,-5.4404364972
44,-0.3,0.0,-3.7528025943,-2.7149486633,-5.1526299582
45,-0.3,0.1,-4.2746377147,-2.6104985615,-4.8674894097
46,-0.3,0.2,-4.7797098203,-2.5028309453,-4.6186106943
47,-0.3,0.3,-5.3177974467,-2.3713064235,-4.3927947597
48,-0.3,0.4,-5.8406003521,-2.2467152222,-4.199085902
49,-0.2,0.4,-6.342989014,-2.1379785918,-4.0272983798
50,-0.1,0.4,-6.1983448522,-2.5210129128,-3.6733918587
51,0.0,0.4,-5.910807094,-2.9135304802,-3.3111025212
52,0.1,0.4,-5.5727001659,-3.3722492589,-2.9345032292
53,0.2,0.4,-5.2791034972,-3.786151473,-2.4987852721
54,0.3,0.4,-4.9350397604,-4.2456879384,-1.973839975
55,0.4,0.4,-4.4489978523,-4.5338767045,-1.2735170133
56,0.4,0.3,-4.3281774348,-5.0545695069,-0.9754418297
57,0.4,0.2,-4.2582656537,-5.2825269605,-1.3941393359
58,0.4,0.1,-3.899044605,-5.3434651313,-1.7635923773
59,0.4,0.0,-3.7784606796,-5.5764404065,-2.185353809
60,0.4,-0.1,-3.5539781766,-5.6996606517,-2.5571569363
61,0.4,-0.2,-3.2847751021,-5.8190498992,-2.9540779694
62,0.4,-0.3,-2.994574844,-5.9745587355,-3.3163830149
63,0.4,-0.4,-2.670870373,-6.0877695175,-3.7073516026
64,0.3,-0.4,-2.3544936668,-6.187200925,-4.0534678466
65,0.2,-0.4,-2.1972796438,-5.6928713209,-4.4323796998
66,0.1,-0.4,-2.1059666353,-5.198934416,-4.767017786
67,0.0,-0.4,-2.0490139238,-4.6711293969,-5.0791306528
68,-0.1,-0.4,-2.0331654616,-4.2738051927,-5.3746463111
69,-0.2,-0.4,-2.0540579254,-3.7670488443,-5.6888055764
70,-0.3,-0.4,-2.0949885143,-3.3708931381,-5.9362190879
71,-0.4,-0.4,-2.1876366997,-2.9849851325,-6.1641678148
72,-0.4,-0.3,-2.3322023216,-2.5474145084,-6.3788546575
73,-0.4,-0.2,-2.8358162046,-2.4740024694,-6.0191021561
74,-0.4,-0.1,-3.4374530144,-2.3861844827,-5.6173421975
75,-0.4,0.0,-3.8818365312,-2.3065721616,-5.3694015967
76,-0.4,0.1,-4.4540854871,-2.2073667742,-5.0588708708
77,-0.4,0.2,-4.9283045348,-2.0730095831,-4.8787537647
78,-0.4,0.3,-5.4436295771,-1.9759465874,-4.657114403
79,-0.4,0.4,-6.0027039151,-1.7958853318,-4.5176198352
80,-0.4,0.5,-6.5164572884,-1.7124018703,-4.3370559247
81,-0.3,0.5,-7.1332217394,-1.5143070002,-4.2455710013
82,-0.2,0.5,-7.0366439453,-1.9049535747,-3.91118337
83,-0.1,0.5,-6.7523472634,-2.3630265815,-3.5363887484
84,0.0,0.5,-6.3305186365,-2.849645321,-3.108766501
85,0.1,0.5,-6.0723242263,-3.2276103331,-2.6916624804
86,0.2,0.5,-5.6515209803,-3.6847303902,-2.185234254
87,0.3,0.5,-5.2751258918,-4.0972738655,-1.7306702316
88,0.4,0.5,-4.9399816602,-4.5690276356,-1.1881922295
89,0.5,0.5,-4.4658577329,-4.9083021889,-0.525599272
90,0.5,0.4,-4.3507506507,-5.3539894667,-0.4056448869
91,0.5,0.3,-4.2441066701,-5.5694765428,-0.6006162285
92,0.5,0.2,-4.071257115,-5.7437738486,-0.951343196
93,0.5,0.1,-3.8855933525,-5.9161076589,-1.3479910851
94,0.5,0.0,-3.541268689,-5.9601859492,-1.7349881762
95,0.5,-0.1,-3.3009403416,-6.0637014271,-2.1404011088
96,0.5,-0.2,-3.0867683711,-6.2138084694,-2.5449492308
97,0.5,-0.3,-2.9995001632,-6.4905740555,-2.9819456416
98,0.5,-0.4,-2.7269844538,-6.6379496576,-3.3356243972
99,0.5,-0.5,-2.4705606801,-6.7671738354,-3.6985507798
100,0.4,-0.5,-2.1580071176,-6.8945479642,-4.0426546592
101,0.3,-0.5,-1.7165435366,-6.0649406109,-4.4084590898
102,0.2,-0.5,-1.7705937656,-5.7908890117,-4.7905902028
103,0.1,-0.5,-1.6533172392,-5.2782683571,-5.1169397204
104,0.0,-0.5,-1.5604177264,-4.7913302225,-5.4437342968
105,-0.1,-0.5,-1.5333895576,-4.2407486566,-5.784765524
106,-0.2,-0.5,-1.5368775981,-3.8781215979,-6.0346774743
107,-0.3,-0.5,-1.5901677362,-3.4308818498,-6.3150855626
108,-0.4,-0.5,-1.6763520946,-2.9905527328,-6.5618585382
109,-0.5,-0.5,-1.8755927734,-2.6569688255,-6.6927015089
110,-0.5,-0.4,-2.2147809329,-2.4018610301,-6.5935092115
111,-0.5,-0.3,-2.4910194296,-2.1893139611,-6.5175332838
112,-0.5,-0.2,-2.9789218587,-2.0693784256,-6.1967880185
113,-0.5,-0.1,-3.4959965935,-1.9832525356,-5.8636640055
114,-0.5,0.0,-4.0084715131,-1.9148530822,-5.5574433703
115,-0.5,0.1,-4.5364676458,-1.7742921183,-5.321504526
116,-0.5,0.2,-5.0692023473,-1.6440128889,-5.1072295811
117,-0.5,0.3,-5.5846338547,-1.5376743409,-4.9146909666
118,-0.5,0.4,-6.1638571462,-1.349914438,-4.7748194077
119,-0.5,0.5,-6.7060349517,-1.1961666388,-4.659974125
120,-0.5,0.6,-7.2424531707,-1.0859857485,-4.5408204969
121,-0.4,0.6,-7.8263705252,-0.8795665305,-4.4319014796
122,-0.3,0.6,-7.7763319356,-1.2975205265,-4.2064372289
123,-0.2,0.6,-7.4937107698,-1.7958731145,-3.8456698185
124,-0.1,0.6,-7.1525076277,-2.2776695092,-3.4304620981
125,0.0,0.6,-6.8735691066,-2.6614578124,-3.0355717555
126,0.1,0.6,-6.3347685132,-3.0450986352,-2.3958989853
127,0.2,0.6,-6.0432514042,-3.5366217498,-2.0407846964
128,0.3,0.6,-5.6028585827,-4.0069007168,-1.3995158227
129,0.4,0.6,-5.2133045844,-4.4349339892,-0.8900350154
130,0.5,0.6,-4.8990606705,-4.7698713993,-0.630822031
