,x,z,m1,m2,m3
0,-0.5,-0.5,-1.0296247036,2.495707384,-2.1390860032
1,-0.5,-0.4,-1.0297189514,2.4954761278,-2.1393696192
2,-0.5,-0.3,-1.4972368075,2.0324533672,-2.3893993792
3,-0.5,-0.2,-2.0823846191,1.2103753643,-2.840793011
4,-0.5,-0.1,-2.6345971952,0.6241367218,-3.1230005337
5,-0.5,0.0,-3.3357413343,0.0357530697,-3.4623370462
6,-0.5,0.1,-3.9736417226,-0.461150895,-3.7780775799
7,-0.5,0.2,-4.7030663042,-0.9195441697,-4.1767631409
8,-0.5,0.3,-5.5342793604,-1.3113993847,-4.6799642535
9,-0.5,0.4,-6.1523728797,-1.3524870533,-4.7791774949
10,-0.5,0.5,-6.7188718484,-1.2647545878,-4.5943165838
11,-0.4,-0.5,-7.2805449816,-1.0338187298,-4.5650858095
12,-0.4,-0.4,-1.8956300259,-2.6459767419,-6.6899255627
13,-0.4,-0.3,-2.3318724544,-2.5352408368,-6.3936759935
14,-0.4,-0.2,-2.8499350456,-2.4734841066,-6.0119977933
15,-0.4,-0.1,-3.3654136769,-2.3958012469,-5.6736814258
16,-0.4,0.0,-3.8996659422,-2.3101858658,-5.3418594284
17,-0.4,0.1,-4.429618589,-2.2084994929,-5.072325614
18,-0.4,0.2,-4.9494779966,-2.1010762228,-4.8438995395
19,-0.4,0.3,-5.5318699334,-1.952037322,-4.6081404642
20,-0.4,0.4,-6.0101268004,-1.7953756956,-4.5118960279
21,-0.4,0.5,-6.5556312034,-1.7065672346,-4.3196733181
22,-0.3,-0.5,-7.1130195533,-1.5391875414,-4.2334139104
23,-0.3,-0.4,-0.5775922813,0.3750712563,-3.6265515849
24,-0.3,-0.3,-1.1394992887,-0.126020626,-3.7165494878
25,-0.3,-0.2,-1.7637852362,-0.771865753,-3.8846133501
26,-0.3,-0.1,-2.5197126425,-1.3712781407,-4.0889503903
27,-0.3,0.0,-3.2883477911,-1.8882097585,-4.317295307
28,-0.3,0.1,-4.136227869,-2.3726005852,-4.5859102055
29,-0.3,0.2,-4.7840068209,-2.4968575559,-4.6286847348
30,-0.3,0.3,-5.3066098862,-2.4009857475,-4.3811857022
31,-0.3,0.4,-5.804900515,-2.2738961073,-4.1943089359
32,-0.3,0.5,-6.344568537,-2.1210811867,-4.0531528146
33,-0.2,-0.5,-6.9313656848,-1.9971619371,-3.8783615807
34,-0.2,-0.4,0.167203415,1.1588331735,-2.6200708198
35,-0.2,-0.3,-0.300899999,0.6342814481,-2.5748746462
36,-0.2,-0.2,-0.9153702148,0.0472024296,-2.5748083236
37,-0.2,-0.1,-1.4595551489,-0.4477729462,-2.6199756994
38,-0.2,0.0,-2.4478303846,-1.3624755726,-3.1151072822
39,-0.2,0.1,-3.1200343467,-1.7438335048,-3.1820197151
40,-0.2,0.2,-3.9005333709,-2.088135479,-3.2941597375
41,-0.2,0.3,-4.6481818079,-2.2976090232,-3.4347032482
42,-0.2,0.4,-5.3504281224,-2.4352805946,-3.5228153228
43,-0.2,0.5,-6.0084041604,-2.4545280856,-3.5610493781
44,-0.1,-0.5,-6.5875620021,-2.3526540898,-3.5021977483
45,-0.1,-0.4,2.772204713,6.3052829208,2.9639862036
46,-0.1,-0.3,2.7144481901,5.6033600158,2.869163338
47,-0.1,-0.2,2.7321734049,4.9720037396,2.8665662881
48,-0.1,-0.1,2.6410190382,4.3679119497,2.9053038708
49,-0.1,0.0,2.5324763051,3.718292199,2.9474631715
50,-0.1,0.1,2.3739725885,3.102662212,3.0570715939
51,-0.1,0.2,2.2067861032,2.515514253,3.2348874834
52,-0.1,0.3,2.086425929,1.9925752118,3.5219060063
